ISO3,country,L,M,H,lon,lat,cumscc,cumpop,id
BLZ,Belize,0.0192478539666334,0.0328264191554687,0.0581291094914806,-88.71010486,17.20027509,0.413673785409107,0.865843360818741,19
BOL,Bolivia,0.165061401458833,0.312080133577895,0.542417428153243,-64.68538645,-16.70814787,-0.0172142461747915,0.4410322758798,20
BRA,Brazil,14.0082366063716,24.2405624500299,41.2174788438581,-53.09783113,-10.78777702,0.525160604599821,0.92194133757378,21
BRN,Brunei,0.339010688442831,0.546607499303235,0.879703926064,114.72203035,4.51968958,0.758583604016483,0.99313162379734,22
BTN,Bhutan,0.013311960246382,0.0300616716230293,0.0541960475292398,90.40188155,27.41106589,0.00406290736576221,0.47773824841132,23
BWA,Botswana,0.356422305998373,0.66782359189103,1.14002240706717,23.79853368,-22.18403213,0.73434404221609,0.991230669921591,24
CAF,Central African Republic,0.029431952858988,0.0478087025720497,0.0774633353590248,20.46826831,6.56823297,-0.109649055235456,0.149520721309767,25
CAN,Canada,-11.0119484828366,-8.21768070657816,-5.45289811344065,-98.30777028,61.36206324,-0.0278072074096777,0.00650349991608771,26
CHE,Switzerland,-1.51691248614723,-1.03018892683429,-0.566167762924221,8.20867471,46.79785878,-0.0356023464509826,0.00900036990176642,27
CHL,Chile,-0.652981460332896,-0.340011799509531,-0.0294532790455469,-71.38256213,-37.73070989,-0.108390747206167,0.0751888489363241,28
CHN,China,4.33162512316321,24.0764975501618,50.0191847570639,103.81907349,36.56176546,-0.0366425283682511,0.39303814987224,29
CIV,Côte d’Ivoire,0.270562476854192,0.447551683329355,0.783431092670384,-5.5692157,7.6284262,-0.0280140958280513,0.418264074947361,30
CMR,Cameroon,0.371646458934146,0.615717117211294,1.02912460509474,12.73964156,5.69109849,-0.0233536101469084,0.428682026913561,31
COD,Congo - Kinshasa,0.200594022047553,0.323547554171696,0.510602179462767,23.64396107,-2.87746289,-0.113219375057598,0.121618463718747,32
COG,Congo - Brazzaville,0.268578617732506,0.461741736341651,0.868031688859028,15.21965762,-0.83787463,0.414812579733858,0.866514791375801,33
COL,Colombia,2.57666701048611,4.43022551206442,7.3582075454816,-73.08114582,3.91383431,0.413592825563172,0.865795089762344,34
COM,Comoros,0.00381767536459454,0.00596686177515203,0.00919674780924202,43.68253968,-11.87783444,-0.112487098046677,0.129111057417826,35
CPV,Cape Verde,0.00548053060839628,0.00970407016837207,0.0159947946087809,-23.9598882,15.95523324,-0.0317832373661083,0.407499893869801,36
CRI,Costa Rica,0.359216883965655,0.608113313806399,1.04029009639753,-84.19208768,9.97634464,0.465376069709022,0.89407068760599,37
CUB,Cuba,0.258433179136037,0.419212219963866,0.705065530470215,-79.01605384,21.62289528,0.00511308538008922,0.479228435434553,38
CYP,Cyprus,0.0914248284089488,0.172196856087456,0.304610537421708,33.0060022,34.91667211,0.529020561284921,0.923645504238794,39
CZE,Czechia,-1.08004226652022,-0.713398706690682,-0.365432949307806,15.31240163,49.73341233,-0.0726874775898916,0.0342691438050315,40
DEU,Germany,-8.45868319204964,-5.0468788402704,-1.61030495444433,10.38578051,51.10698181,-0.0878914319893376,0.0474279660282853,41
DJI,Djibouti,0.0253745962777901,0.0431207460868489,0.0780827867850129,42.5606754,11.74871806,0.0176500606442748,0.495900861565619,42
DNK,Denmark,-0.830007693367717,-0.558729575254403,-0.292087715275491,10.02800992,55.98125296,-0.0391498559005374,0.010918251709622,43
DOM,Dominican Republic,0.752319206983475,1.31962182996325,2.3132703972112,-70.50568896,18.89433082,0.528415189863621,0.923404810204157,44
DZA,Algeria,0.929551867530116,1.8652900835069,3.26409734309434,2.61732301,28.15893849,0.090527443816463,0.586562104946038,45
ECU,Ecuador,0.412366128360599,0.719861626477628,1.18910546227966,-78.75201922,-1.42381612,0.0840087369844025,0.578887271477876,46
EGY,Egypt,3.61404816238172,6.28590789775224,11.187322452806,29.86190099,26.49593311,0.384198333176876,0.844564950161126,47
ERI,Eritrea,0.0236862287606624,0.0385008961294548,0.060240567931373,38.84617011,15.36186618,-0.112681100952486,0.127528295765888,48
ESP,Spain,0.868776292904958,3.42164305506731,7.03283412625389,-3.64755047,40.24448698,0.401850444064105,0.858308182790456,49
EST,Estonia,-0.135462116983912,-0.0998180230331024,-0.06634501081587,25.54248537,58.67192972,-0.0679572026676012,0.0305349477819582,50
ETH,Ethiopia,0.427535868056666,0.74051017705245,1.18581675478339,39.60080098,8.62278679,-0.110660776705815,0.142735530023473,51
FIN,Finland,-1.61511204088033,-1.26655722134495,-0.940697142430397,26.2746656,64.49884603,-0.00753992937367424,0.00150923094685198,52
FJI,Fiji,0.0113107773398369,0.018412307398882,0.030254043884712,165.45195432,-17.42858032,-0.0274107390072126,0.419909126099473,53
FRA,France,-4.24969622006117,-1.10154154540767,2.62565072604271,-2.76172945,42.17344011,-0.11110748074281,0.0843143268363136,54
GAB,Gabon,0.239277536117283,0.419212499346764,0.717844236958724,11.7886287,-0.58660025,0.710711751215522,0.986045300468811,55
GBR,United Kingdom,-6.65455823185739,-3.81421446349718,-0.782872469086921,-2.86563164,54.12387156,-0.0976093343371603,0.056461001549038,56
GEO,Georgia,-0.0293701351001546,-0.0074673743421828,0.0165409222189849,43.50780252,42.16855755,-0.114224127744343,0.0991642230270925,57
GHA,Ghana,0.566671211667176,0.970484997559339,1.76306849552895,-1.21676566,7.95345644,-0.00295052821455794,0.466377489976482,58
GIN,Guinea,0.10839211487764,0.175804463077109,0.288244086488331,-10.94066612,10.43621593,-0.0974599865071231,0.206059882295327,59
GMB,Gambia,0.0299488831692435,0.0518344424440632,0.092484259997716,-15.39601295,13.44965244,-0.0258714865030772,0.423483961511701,60
GNB,Guinea-Bissau,0.0122268346774054,0.0202907948262947,0.0348481189347688,-14.94972445,12.04744948,-0.106475289604457,0.165635319178144,61
GNQ,Equatorial Guinea,0.380209772140567,0.665582211352948,1.11539516523168,10.34137924,1.70555135,0.74838322786523,0.992622595588925,62
GRC,Greece,0.184040748314362,0.609288056896814,1.23743608007086,22.95555794,39.07469623,0.106163286826296,0.604314215746759,63
GTM,Guatemala,0.463801438712971,0.777820218256457,1.28499487094554,-90.36482009,15.69403664,0.0859270761348649,0.581202298442882,64
GUY,Guyana,0.0187278222931308,0.0313408933961687,0.0542527379781743,-58.98202459,4.79378034,0.009236669612313,0.484873371794124,65
HND,Honduras,0.211066697579614,0.352356237384477,0.602680744855068,-86.6151661,14.82688165,0.00915937352074687,0.484771010704669,66
HRV,Croatia,-0.0935084187580284,-0.00139493834536786,0.113945502946368,16.40412899,45.08047631,-0.11422756808284,0.099738053475602,67
HTI,Haiti,0.0456712531257231,0.0726946108336763,0.115546817783132,-72.68527509,18.93502563,-0.112501814126666,0.128991900645735,68
HUN,Hungary,-0.296494719494527,-0.121347514733167,0.0735347776320658,19.39559116,47.16277506,-0.112163481844135,0.0886285690329668,69
IDN,Indonesia,6.79657333176097,10.9356299110536,17.7583179619638,117.24011366,-2.21505456,0.0457340547383107,0.531954050715291,70
IND,India,49.4787619337513,85.3578927611963,157.128655438342,79.6119761,22.88578212,0.332603253771145,0.802414795964857,71
IRL,Ireland,-0.684091176194013,-0.438986297428721,-0.220349126897986,-8.13793569,53.1754487,-0.0402325284527652,0.0115843922878986,72
IRN,Iran,1.34469915039901,3.36821850911212,6.26901572060474,54.27407004,32.57503292,0.0175437118846592,0.495762660869908,73
IRQ,Iraq,3.84291551391932,7.46485571585347,13.380793353568,43.74353149,33.03970582,0.674027200193311,0.976778315636371,74
ISL,Iceland,-0.115337292435455,-0.087435675471202,-0.0641620325901797,-18.57396167,64.99575386,-0.00441621743230399,0.000766385676218649,75
ISR,Israel,2.52345387140437,4.85172914061549,8.53385409196514,35.00444693,31.46110101,0.746741701476585,0.992503438816833,76
ITA,Italy,-0.736631531346842,1.63662950230312,4.75163993269686,12.07001339,42.79662641,-0.0193171883936817,0.436842083685613,77
